family_curated	n_copies	total_bp	median_len	truncated_pct	chimera_suspect_pct	mean_score	mean_cov
Retand	1550	1550	1.0	0.598	0.0	0.0	0.701
Angela	996	996	1.0	1.0	0.0	0.0	0.679
Tork	732	732	1.0	1.0	0.0	0.0	0.924
Athila	1385	1385	1.0	0.505	0.0	0.0	0.747
Tekay	636	636	1.0	0.553	0.0	0.0	0.723
Ale	2093	2093	1.0	1.0	0.0	0.0	0.894
Ogre	1520	1520	1.0	0.655	0.0	0.0	0.673
Bianca	1006	1006	1.0	1.0	0.0	0.0	0.798
Ikeros	227	227	1.0	1.0	0.0	0.0	0.921
Galadriel	166	166	1.0	0.301	0.0	0.0	0.849
TAR	112	112	1.0	1.0	0.0	0.0	0.875
Alesia	122	122	1.0	1.0	0.0	0.0	0.762
CRM	26	26	1.0	0.385	0.0	0.0	0.808
SIRE	24	24	1.0	1.0	0.0	0.0	0.625
mixture	6	6	1.0	1.0	0.0	0.0	0.5
TatIII	1	1	1.0	1.0	0.0	0.0	0.5
